name,type,name_with_type,federal_district,region_code,fias_id,okato,oktmo,tax_office,postal_code,iso_code,timezone,geoname_code,geoname_id,geoname_name,TimeShiftToMoscow,phone_codes
Воронежская,обл,Воронежская обл,Центральный,20,b756fe6b-bbd3-44d5-9302-5bfcc740f46e,20000000000,,3600,,RU-VOR,UTC+3,RU.86,472039,Voronezj,0,473,,
Ивановская,обл,Ивановская обл,Центральный,24,0824434f-4098-4467-af72-d4f702fed335,24000000000,,3700,,RU-IVA,UTC+3,RU.21,555235,Ivanovo,0,493,,
Иркутская,обл,Иркутская обл,Сибирский,25,6466c988-7ce3-45e5-8b97-90ae16cb1249,25000000000,,3800,,RU-IRK,UTC+8,RU.20,2023468,Irkutsk Oblast,5,395,,
Калининградская,обл,Калининградская обл,Северо-Западный,27,90c7181e-724f-41b3-b6c6-bd3ec7ae3f30,27000000000,,3900,,RU-KGD,UTC+2,RU.23,554230,Kaliningrad,-1,401,,
Калужская,обл,Калужская обл,Центральный,29,18133adf-90c2-438e-88c4-62c41656de70,29000000000,,4000,,RU-KLU,UTC+3,RU.25,553899,Kaluga,0,484,,
Камчатский,край,Камчатский край,Дальневосточный,30,d02f30fc-83bf-4c0f-ac2b-5729a866a207,30000000000,,4100,,RU-KAM,UTC+12,RU.92,2125072,Kamchatka,9,415,,
Кемеровская область - Кузбасс,обл,Кемеровская область - Кузбасс,Сибирский,32,393aeccb-89ef-4a7e-ae42-08d5cebc2e30,32000000000,,4200,,RU-KEM,UTC+7,RU.29,1503900,Kemerovo Oblast,4,384,,
Кировская,обл,Кировская обл,Приволжский,33,0b940b96-103f-4248-850c-26b6c7296728,33000000000,,4300,610000,RU-KIR,UTC+3,RU.33,548389,Kirov,0,833,,
Костромская,обл,Костромская обл,Центральный,34,15784a67-8cea-425b-834a-6afe0e3ed61c,34000000000,,4400,,RU-KOS,UTC+3,RU.37,543871,Kostroma Oblast,0,494,,
Курганская,обл,Курганская обл,Уральский,37,4a3d970f-520e-46b9-b16c-50d4ca7535a8,37000000000,,4500,641000,RU-KGN,UTC+5,RU.40,1501312,Kurgan Oblast,2,352,,
Курская,обл,Курская обл,Центральный,38,ee594d5e-30a9-40dc-b9f2-0add1be44ba1,38000000000,,4600,,RU-KRS,UTC+3,RU.41,538555,Kursk,0,471,,
Ленинградская,обл,Ленинградская обл,Северо-Западный,41,6d1ebb35-70c6-4129-bd55-da3969658f5d,41000000000,,4700,,RU-LEN,UTC+3,RU.42,536199,Leningradskaya Oblast,0,813,,
Липецкая,обл,Липецкая обл,Центральный,42,1490490e-49c5-421c-9572-5673ba5d80c8,42000000000,,4800,,RU-LIP,UTC+3,RU.43,535120,Lipetsk Oblast,0,474,,
Магаданская,обл,Магаданская обл,Дальневосточный,44,9c05e812-8679-4710-b8cb-5e8bd43cdf48,44000000000,,4900,,RU-MAG,UTC+11,RU.44,2123627,Magadan Oblast,8,413,,
Московская,обл,Московская обл,Центральный,46,29251dcf-00a1-4e34-98d4-5c47484a36d4,46000000000,,5000,,RU-MOS,UTC+3,RU.47,524925,Moscow Oblast,0,495| 496| 498,,
Мурманская,обл,Мурманская обл,Северо-Западный,47,1c727518-c96a-4f34-9ae6-fd510da3be03,47000000000,,5100,,RU-MUR,UTC+3,RU.49,524304,Murmansk,0,815,,
Нижегородская,обл,Нижегородская обл,Приволжский,22,88cd27e2-6a8a-4421-9718-719a28a0a088,22000000000,,5200,,RU-NIZ,UTC+3,RU.51,559838,Nizhny Novgorod Oblast,0,831,,
